event_id,sample,process,process_role,m_gammagamma,n_electrons,n_muons,n_leptons,n_jets,n_jets_central,n_jets_forward,n_bjets,n_bjets_central,ht_jets,lead_jet_pt,sublead_jet_pt,met,pt_gg,delta_r_gg,photon_ti,partition,bdt_score,category,significance_model_weight_36fb
ttH|346525|284500|1732132,ttH,ttH,signal_top,122.71778351658787,0,0,0,3,3,0,2,2,260.5175151824951,154.21099853515625,79.01632690429688,45.242435455322266,229.18693782552722,1.0525900148338638,False,train,0.7646530381331481,ttH_had_BDT2,0.0
ttH|346525|284500|1732568,ttH,ttH,signal_top,125.60852139220667,0,0,0,3,3,0,1,1,183.55938720703125,108.34742736816406,46.68180465698242,97.88308715820312,47.45171080145798,2.5671588518760595,False,train,0.5917699212307603,ttH_had_BDT3,0.0
ttH|346525|284500|1732167,ttH,ttH,signal_top,125.12733346667054,0,0,0,3,3,0,2,2,158.3158073425293,69.08740997314453,48.787750244140625,22.133636474609375,110.62579635007403,1.768749177099782,True,train,0.4320064355370361,ttH_had_BDT3,0.00037790585905589304
ttH|346525|284500|1732877,ttH,ttH,signal_top,123.17035553678409,0,0,0,6,6,0,2,2,516.0605010986328,127.78495788574219,114.6728515625,62.02149200439453,306.6158549421536,0.8705327760312128,False,train,0.9531556565060287,ttH_had_BDT1,0.0
ttH|346525|284500|1732151,ttH,ttH,signal_top,125.536038728452,0,0,0,5,5,0,2,2,441.9058265686035,134.6075897216797,117.58767700195312,10.418608665466309,82.34080893804928,2.343101993011413,True,train,0.8250032979451017,ttH_had_BDT2,0.00040696864252309805
ttH|346525|284500|1732288,ttH,ttH,signal_top,123.15591923029538,0,0,0,5,5,0,1,1,420.9229049682617,115.45414733886719,107.03394317626953,8.146607398986816,39.478311127118204,3.070085837116441,True,val,0.60513254611125,ttH_had_BDT3,0.00035209974668857754
ttH|346525|284500|1732473,ttH,ttH,signal_top,124.1946438944629,0,0,0,4,4,0,2,2,573.253662109375,329.5761413574219,89.25597381591797,173.25013732910156,23.843395363198507,2.8187600699284454,True,val,0.8180432908321186,ttH_had_BDT2,-0.00041060379078272733
ttH|346525|284500|1748665,ttH,ttH,signal_top,125.88105407846766,0,0,0,4,4,0,1,1,242.22174072265625,76.1132583618164,69.56090545654297,20.152698516845703,11.69461431548891,2.9982708353694454,False,test,0.2837431422114652,tH_had_4j1b,0.0
ttH|346525|284500|1748331,ttH,ttH,signal_top,125.26982020449472,0,0,0,6,6,0,1,1,237.0072193145752,62.637115478515625,60.64817428588867,31.125001907348633,128.56880430791242,1.8511916777069113,True,test,0.79464192413834,ttH_had_BDT2,0.0003196146613155972
ttH|346525|284500|1748563,ttH,ttH,signal_top,127.45714273722946,0,0,0,8,8,0,2,2,392.07324028015137,100.78067016601562,75.56121826171875,84.5367431640625,110.52661895724,1.9203713600168393,False,val,0.9289963040843591,ttH_had_BDT1,0.0
ttH|346525|284500|1748820,ttH,ttH,signal_top,127.16894903854462,0,0,0,4,4,0,2,2,241.17569732666016,86.49992370605469,80.50861358642578,17.960296630859375,113.28752538883084,1.8581948228446665,True,train,0.7362265859735133,ttH_had_BDT2,0.0
